Year,Vaccination,Vaccination flag,Category ,Category flag,Group,Group flag,Estimate,Estimate flag
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,88.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,94.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,95.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,89.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,American Indian or Alaska Native,,,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,Asian,3,39.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Asian,3,69.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Asian,3,74.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Asian,3,55.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,74.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,76.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,80.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,77.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,76.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,79.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,82.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Asian,3,70.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,84.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,85.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,80.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,89.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,87.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,85.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,84.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,88.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,89.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,90.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,89.0,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,86.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,88.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,92.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Asian,3,87.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,90.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,90.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,89.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,93.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,90.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,93.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,90.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,92.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,91.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,93.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,93.0,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,92.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,95.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,97.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,Asian,3,94.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,95.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,93.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,90.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,92.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,93.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,90.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,90.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,95.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,96.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,94.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,92.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,95.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,94.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,95.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Asian,3,91.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,90.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,92.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,89.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,92.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,90.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,92.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,92.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,95.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,91.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,92.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,89.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,90.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,91.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,Asian,3,93.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,Asian,3,55.0,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,93.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,95.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,90.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2005,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2006,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,96.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,87.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2009,Polio (3 doses or more),,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,97.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,94.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,90.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,94.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,88.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,97.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,97.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,93.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,91.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,96.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,*
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,96.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,Native Hawaiian or Other Pacific Islander,3,,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,2 or more races,,41.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,2 or more races,,66.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,2 or more races,,76.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,2 or more races,,57.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,61.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,74.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,77.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,80.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,75.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,76.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,79.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,2 or more races,,67.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,78.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,84.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,86.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,86.3,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,84.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,84.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,88.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,2 or more races,,82.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,87.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,91.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,92.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,93.8,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,92.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,92.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,94.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,2 or more races,,93.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,89.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,94.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,94.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,93.7,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,91.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,95.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,94.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,2 or more races,,89.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,90.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,93.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,96.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,94.7,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,91.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,90.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,2 or more races,,90.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,2 or more races,,54.0,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,Hispanic or Latino,,46.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Hispanic or Latino,,67.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Hispanic or Latino,,69.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Hispanic or Latino,,67.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,66.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,71.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,76.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,76.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,77.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,78.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,78.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Hispanic or Latino,,73.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,75.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,77.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,78.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,81.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,80.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,79.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,83.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,79.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,82.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,84.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,83.6,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,85.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,84.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,85.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Hispanic or Latino,,83.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,87.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,88.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,91.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,91.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,92.3,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,94.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,88.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,88.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,88.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,91.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,92.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,91.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,91.1,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,92.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,89.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,90.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,92.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,92.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,91.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,92.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,93.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,94.2,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,94.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,Hispanic or Latino,,94.0,
